+5.153220E+001,+1.040000E-002
+5.153240E+001,-6.00E-03
+5.153260E+001,-8.00E-04
+5.153280E+001,-1.20E-02
+5.153300E+001,-4.00E-04
+5.153320E+001,-2.00E-03
+5.153340E+001,-1.12E-02
+5.153360E+001,+3.200000E-003
+5.153380E+001,-2.80E-03
+5.153400E+001,-4.00E-03
+5.153420E+001,-1.60E-03
+5.153440E+001,+1.040000E-002
+5.153460E+001,-8.00E-04
+5.153480E+001,+1.600000E-003
+5.153500E+001,-9.60E-03
+5.153520E+001,+8.000000E-003
+5.153540E+001,-4.00E-04
+5.153560E+001,-4.00E-04
+5.153580E+001,-4.80E-03
+5.153600E+001,-4.00E-04
+5.153620E+001,+4.800000E-003
+5.153640E+001,-1.60E-03
+5.153660E+001,+3.600000E-003
+5.153680E+001,-7.60E-03
+5.153700E+001,-5.60E-03
+5.153720E+001,+7.200000E-003
+5.153740E+001,-1.08E-02
+5.153760E+001,+3.600000E-003
+5.153780E+001,+1.010485E-011
+5.153800E+001,+8.400000E-003
+5.153820E+001,+7.600000E-003
+5.153840E+001,-4.00E-04
+5.153860E+001,-2.00E-03
+5.153880E+001,-9.20E-03
+5.153900E+001,-8.40E-03
+5.153920E+001,-4.40E-03
+5.153940E+001,-6.40E-03
+5.153960E+001,+3.200000E-003
+5.153980E+001,+4.800000E-003
+5.154000E+001,-4.00E-04
+5.154020E+001,+2.800000E-003
+5.154040E+001,+1.040000E-002
+5.154060E+001,+4.000000E-003
+5.154080E+001,-5.60E-03
+5.154100E+001,+7.200000E-003
+5.154120E+001,+2.800000E-003
+5.154140E+001,+2.000000E-003
+5.154160E+001,+6.800000E-003
+5.154180E+001,-8.00E-04
+5.154200E+001,-6.40E-03
+5.154220E+001,-4.00E-03
+5.154240E+001,+2.400000E-003
+5.154260E+001,+3.200000E-003
+5.154280E+001,+6.000000E-003
+5.154300E+001,-2.00E-03
+5.154320E+001,-2.40E-03
+5.154340E+001,+5.600000E-003
+5.154360E+001,-5.20E-03
+5.154380E+001,-9.60E-03
+5.154400E+001,-6.80E-03
+5.154420E+001,-4.00E-04
+5.154440E+001,+1.080000E-002
+5.154460E+001,+6.800000E-003
+5.154480E+001,-1.24E-02
+5.154500E+001,-8.00E-04
+5.154520E+001,-3.20E-03
+5.154540E+001,-4.00E-04
+5.154560E+001,+2.800000E-003
+5.154580E+001,+7.600000E-003
+5.154600E+001,+8.400000E-003
+5.154620E+001,-4.00E-04
+5.154640E+001,+4.000000E-003
+5.154660E+001,-3.20E-03
+5.154680E+001,+1.040000E-002
+5.154700E+001,+1.040000E-002
+5.154720E+001,+6.400000E-003
+5.154740E+001,+1.600000E-003
+5.154760E+001,+7.600000E-003
+5.154780E+001,+5.200000E-003
+5.154800E+001,-4.00E-04
+5.154820E+001,-8.00E-04
+5.154840E+001,+1.200000E-003
